symbol,Encounter_date,price
,2013-09-30,
,2011-01-04,
,2012-07-24,
,2008-11-21,
,2009-10-28,
,2010-04-23,
,2014-04-25,
,2013-08-09,
,2013-10-31,
,2010-11-24,
,2012-05-04,
,2012-01-25,
,2011-11-09,
,2011-03-24,
,2013-09-30,
,2014-03-26,
,2014-01-19,
,2011-12-01,
,2014-09-22,
,2014-01-09,
,2012-03-28,
,2014-06-05,
,2014-08-21,
,2012-06-07,
,2007-06-27,
,2012-10-03,
,2007-02-05,
,2014-03-12,
,2011-09-14,
,2008-05-09,
,2006-12-08,
,2015-05-19,
,2008-02-25,
,2012-07-05,
,2011-03-03,
,2013-06-28,
,2011-09-01,
,2008-04-01,
,2013-03-07,
,2009-02-04,
,2015-01-21,
,2009-03-12,
,2013-12-18,
,2011-12-27,
,2007-07-24,
,2012-05-30,
,2012-08-22,
,2012-12-21,
,2007-12-13,
,2012-04-10,
,2012-03-05,
,2010-12-27,
,2012-05-15,
,2010-11-16,
,2015-05-29,
,2010-05-28,
,2012-06-12,
,2010-12-13,
,2009-11-22,
,2014-07-25,
,2015-06-28,
,2007-10-19,
,2010-03-08,
,2014-11-22,
,2012-02-10,
,2011-11-04,
,2012-10-10,
,2011-11-30,
,2012-07-09,
,2012-01-03,
,2014-03-05,
,2007-11-02,
,2015-07-29,
,2014-07-20,
,2010-09-23,
,2014-07-16,
,2014-08-18,
,2014-06-06,
,2014-01-13,
,2010-08-10,
,2014-10-23,
,2012-06-05,
,2011-03-08,
,2014-09-06,
,2015-03-20,
,2015-04-02,
,2013-07-30,
,2015-10-13,
,2008-07-08,
,2012-01-19,
,2015-03-26,
,2013-10-23,
,2009-01-13,
,2011-12-27,
,2014-12-17,
,2011-12-13,
,2013-05-05,
,2012-08-28,
,2012-01-04,
,2010-08-18,
,2011-05-25,
,2015-04-27,
,2013-09-19,
,2013-12-05,
,2006-10-30,
,2007-05-16,
,2008-10-03,
,2014-05-19,
,2014-10-31,
,2012-09-07,
,2007-12-11,
,2011-12-12,
,2010-10-21,
,2013-04-08,
,2015-05-14,
,2013-11-25,
,2009-09-16,
,2012-12-04,
,2012-06-18,
,2014-07-29,
,2014-09-29,
,2011-01-18,
,2011-03-04,
,2012-03-21,
,2012-07-17,
,2011-07-13,
,2007-05-24,
,2014-12-05,
,2014-07-16,
,2006-11-06,
,2011-01-24,
,2008-03-05,
,2007-04-19,
,2012-02-24,
,2008-07-17,
,2009-06-02,
,2012-12-06,
,2007-11-15,
,2013-01-15,
,2012-01-05,
,2015-03-09,
,2014-02-06,
,2012-04-19,
,2012-03-13,
,2014-06-26,
,2010-08-02,
,2012-11-07,
,2012-12-10,
,2012-08-22,
,2012-12-12,
,2014-08-08,
,2012-02-16,
,2013-11-04,
,2013-12-31,
,2014-11-06,
,2012-04-11,
,2014-12-19,
,2015-09-22,
,2011-07-18,
,2013-09-13,
,2011-04-22,
,2010-04-05,
,2014-04-09,
,2013-09-18,
,2012-08-02,
,2012-11-06,
,2012-08-22,
,2011-06-08,
,2008-08-14,
,2015-04-09,
,2008-10-09,
,2014-04-02,
,2008-08-12,
,2014-07-23,
,2013-07-05,
,2008-11-08,
,2013-06-19,
,2014-08-26,
,2011-06-23,
,2014-10-06,
,2013-03-23,
,2012-04-18,
,2014-05-14,
,2012-08-14,
,2007-08-01,
,2015-03-18,
,2015-03-09,
,2012-09-20,
,2012-06-19,
,2011-11-01,
,2012-10-08,
,2014-11-05,
,2012-11-21,
,2012-01-09,
,2012-10-23,
,2009-01-19,
,2011-04-12,
,2011-05-16,
,2014-09-17,
,2012-10-15,
,2013-05-09,
,2014-09-26,
,2013-03-14,
,2007-01-16,
,2006-11-17,
,2008-01-31,
,2008-04-07,
,2007-08-02,
,2009-09-21,
,2012-01-23,
,2012-04-03,
,2010-07-25,
,2010-05-12,
,2015-09-02,
,2010-11-11,
,2011-09-07,
,2012-04-10,
,2009-03-16,
,2009-09-28,
,2013-01-10,
,2013-12-07,
,2015-02-03,
,2014-08-14,
,2012-08-27,
,2009-03-10,
,2012-09-05,
,2010-11-02,
,2012-09-25,
,2012-04-03,
,2011-11-08,
,2010-07-21,
,2010-07-26,
,2010-03-02,
,2011-05-04,
,2009-09-03,
,2010-01-18,
,2010-08-09,
,2013-04-02,
,2012-03-02,
,2013-03-23,
,2014-06-09,
,2010-03-09,
,2010-11-18,
,2010-09-29,
,2013-11-27,
,2014-07-09,
,2012-03-20,
,2010-02-24,
,2012-10-23,
,2011-01-18,
,2009-06-15,
,2011-05-12,
,2012-09-18,
,2011-01-12,
,2014-11-12,
,2014-04-08,
,2012-10-05,
,2012-07-02,
,2013-03-22,
,2012-02-01,
,2015-06-12,
,2011-04-07,
,2015-06-23,
,2015-03-26,
,2013-08-15,
,2012-08-17,
,2006-11-27,
,2007-07-10,
,2007-04-09,
,2008-02-21,
,2008-01-22,
,2008-05-29,
,2009-12-18,
,2009-01-22,
,2009-09-01,
,2011-11-30,
,2008-02-18,
,2014-10-20,
,2007-04-26,
,2014-02-05,
,2011-09-07,
,2012-09-04,
,2013-10-09,
,2014-07-29,
,2011-08-25,
,2013-05-31,
,2012-10-24,
,2009-08-12,
,2007-11-27,
,2013-12-09,
,2012-09-27,
,2011-10-03,
,2009-08-11,
,2008-11-17,
,2013-11-27,
,2010-07-07,
,2015-06-17,
,2011-05-27,
,2011-11-16,
,2012-11-27,
,2012-10-23,
,2010-11-17,
,2015-02-20,
,2010-03-30,
,2010-07-14,
,2012-11-01,
,2010-03-29,
,2009-08-07,
,2012-08-28,
,2007-03-26,
,2014-05-13,
,2012-08-10,
,2012-12-12,
,2010-09-07,
,2012-04-27,
,2010-03-05,
,2009-06-01,
,2010-09-28,
,2012-05-03,
,2012-06-07,
,2015-09-24,
,2011-04-11,
,2015-08-31,
,2009-08-04,
,2009-08-27,
,2010-08-10,
,2011-08-26,
,2012-10-23,
,2009-12-19,
,2013-02-27,
,2011-01-04,
,2012-02-23,
,2012-04-05,
,2014-07-07,
,2013-09-09,
,2012-05-25,
,2014-12-22,
,2009-07-27,
,2014-09-04,
,2013-09-11,
,2010-02-06,
,2011-08-12,
,2010-11-12,
,2008-12-03,
,2008-06-18,
,2012-05-02,
,2012-04-27,
,2013-04-25,
,2015-06-29,
,2015-06-25,
,2012-12-03,
,2012-12-11,
,2013-09-03,
,2015-05-19,
,2011-06-22,
,2012-10-09,
,2010-06-21,
,2012-04-05,
,2011-01-26,
,2014-07-14,
,2012-04-03,
,2011-10-10,
,2014-04-14,
,2010-06-24,
,2012-05-03,
,2010-10-26,
,2014-02-21,
,2008-11-18,
,2012-11-12,
,2009-12-02,
,2014-11-14,
,2012-10-02,
,2015-07-21,
,2014-09-12,
,2011-10-27,
,2011-02-03,
,2014-12-04,
,2014-09-18,
,2013-02-25,
,2012-03-22,
,2011-07-22,
,2014-08-24,
,2014-03-20,
,2006-11-13,
,2014-01-06,
,2008-09-06,
,2008-11-24,
,2007-02-06,
,2008-10-22,
,2013-06-10,
,2010-10-28,
,2010-03-03,
,2014-05-22,
,2012-10-26,
,2011-08-12,
,2013-05-08,
,2012-03-01,
,2010-11-23,
,2015-06-30,
,2011-11-16,
,2008-04-14,
,2015-02-18,
,2010-10-18,
,2013-01-09,
,2013-09-10,
,2012-06-15,
,2012-11-05,
,2014-06-21,
,2014-08-01,
,2014-03-25,
,2008-12-08,
,2011-07-19,
,2011-02-23,
,2009-09-23,
,2012-04-23,
,2012-03-09,
,2012-07-25,
,2009-05-20,
,2012-07-18,
,2012-04-26,
,2013-11-25,
,2012-09-13,
,2009-12-01,
,2011-05-25,
,2010-05-12,
,2011-04-11,
,2011-05-31,
,2015-04-20,
,2013-11-06,
,2012-04-04,
,2014-04-03,
,2010-07-09,
,2008-04-18,
,2012-09-24,
,2012-08-22,
,2011-05-25,
,2013-05-01,
,2012-04-24,
,2013-02-27,
,2015-06-12,
,2013-04-02,
,2013-09-28,
,2015-06-11,
,2006-12-05,
,2006-11-17,
,2008-02-21,
,2009-02-28,
,2009-08-06,
,2012-05-15,
,2009-11-03,
,2008-02-13,
,2008-09-05,
,2007-06-22,
,2008-05-30,
,2012-01-18,
,2008-12-10,
,2014-06-02,
,2010-09-13,
,2013-07-23,
,2010-08-05,
,2007-07-12,
,2012-07-28,
,2014-03-20,
,2014-08-22,
,2010-11-10,
,2011-09-30,
,2012-12-05,
,2010-09-03,
,2012-10-23,
,2012-11-02,
,2012-06-13,
,2010-07-19,
,2008-03-27,
,2014-08-13,
,2012-02-07,
,2011-12-07,
,2008-11-14,
,2008-03-18,
,2012-07-11,
,2010-01-25,
,2014-10-08,
,2014-02-07,
,2008-12-22,
,2014-02-11,
,2011-09-20,
,2014-10-23,
,2015-06-19,
,2015-07-31,
,2013-10-15,
,2014-02-24,
,2011-12-13,
,2013-11-21,
,2013-10-18,
,2010-04-20,
,2014-01-07,
,2008-03-03,
,2014-05-05,
,2014-09-19,
,2007-04-11,
,2007-10-04,
,2007-08-18,
,2007-08-07,
,2013-01-23,
,2008-05-02,
,2014-06-13,
,2009-12-03,
,2010-05-24,
,2012-07-11,
,2010-08-13,
,2008-10-23,
,2009-05-06,
,2015-07-01,
,2010-01-28,
,2012-08-31,
,2008-07-12,
,2011-08-01,
,2011-12-06,
,2012-01-16,
,2012-06-21,
,2012-04-01,
,2014-02-28,
,2007-01-30,
,2012-02-15,
,2012-11-06,
,2007-10-12,
,2012-06-01,
,2008-01-02,
,2010-05-13,
,2014-02-24,
,2012-12-14,
,2011-10-20,
,2014-08-20,
,2014-04-14,
,2008-04-10,
,2014-04-17,
,2010-05-11,
,2011-08-05,
,2010-05-20,
,2014-02-12,
,2008-10-07,
,2010-10-21,
,2014-10-17,
,2011-11-17,
,2011-10-31,
,2011-01-04,
,2014-07-08,
,2014-08-20,
,2010-09-26,
,2011-04-27,
,2013-12-12,
,2013-09-19,
,2013-08-27,
,2014-07-16,
,2012-12-05,
,2011-01-26,
,2014-05-06,
,2009-05-06,
,2009-11-19,
,2007-02-21,
,2010-08-03,
,2010-12-14,
,2007-04-20,
,2013-01-31,
,2011-03-04,
,2006-10-17,
,2007-10-20,
,2009-10-29,
,2008-11-02,
,2008-08-21,
,2012-03-30,
,2009-02-20,
,2015-04-06,
,2009-09-18,
,2011-05-10,
,2013-12-20,
,2012-08-29,
,2013-06-05,
,2012-09-30,
,2013-07-11,
,2010-07-09,
,2013-09-13,
,2012-08-16,
,2010-09-22,
,2008-01-15,
,2008-09-24,
,2009-06-01,
,2012-08-12,
,2015-09-30,
,2011-02-08,
,2010-02-05,
,2015-03-24,
,2012-01-31,
,2015-02-26,
,2013-02-01,
,2009-01-23,
,2015-07-27,
,2014-03-10,
,2008-03-20,
,2011-01-21,
,2011-08-19,
,2011-03-29,
,2013-06-18,
,2013-06-27,
,2010-09-30,
,2012-12-18,
,2014-12-02,
,2012-12-06,
,2008-07-14,
,2011-08-15,
,2010-11-22,
,2013-03-15,
,2015-08-05,
,2013-10-28,
,2012-07-10,
,2011-06-12,
,2012-04-19,
,2012-07-09,
,2012-12-19,
,2014-07-25,
,2013-03-01,
,2014-07-28,
,2010-11-24,
,2015-01-15,
,2014-03-10,
,2011-04-25,
,2011-07-03,
,2013-02-17,
,2014-12-17,
,2012-05-01,
,2014-04-14,
,2010-09-22,
,2014-05-09,
,2013-07-20,
,2012-07-30,
,2012-09-20,
,2013-11-07,
,2013-05-03,
,2008-11-06,
,2013-06-06,
,2014-02-24,
,2011-07-28,
,2014-09-18,
,2008-01-16,
,2007-05-17,
,2012-10-12,
,2011-02-22,
,2008-06-10,
,2012-07-24,
,2007-08-01,
,2007-07-18,
,2014-07-31,
,2012-03-19,
,2011-01-13,
,2012-05-14,
,2011-04-27,
,2012-06-14,
,2008-11-12,
,2012-04-02,
,2012-03-28,
,2014-06-30,
,2008-01-25,
,2012-02-23,
,2013-07-17,
,2009-10-22,
,2013-05-20,
,2011-08-15,
,2008-02-25,
,2011-09-09,
,2014-02-03,
,2014-05-07,
,2011-08-10,
,2015-05-13,
,2013-11-05,
,2007-02-16,
,2006-12-29,
,2007-09-14,
,2007-04-24,
,2007-10-29,
,2006-10-30,
,2008-12-02,
,2007-12-18,
,2009-05-20,
,2007-05-17,
,2012-12-28,
,2010-11-17,
,2009-12-29,
,2012-12-03,
,2011-01-14,
,2014-11-29,
,2014-12-08,
,2012-04-11,
,2012-09-13,
,2012-01-24,
,2013-01-05,
,2012-08-30,
,2007-11-05,
,2011-02-23,
,2007-09-22,
,2015-07-14,
,2010-01-22,
,2013-05-01,
,2010-04-01,
,2010-03-02,
,2015-04-23,
,2012-11-16,
,2010-10-28,
,2010-12-15,
,2014-08-21,
,2010-01-07,
,2014-11-05,
,2012-08-28,
,2011-05-26,
,2010-06-03,
,2010-02-15,
,2012-05-03,
,2011-01-10,
,2009-12-16,
,2010-10-29,
,2011-01-06,
,2012-11-29,
,2009-08-07,
,2011-12-26,
,2010-02-19,
,2012-06-08,
,2009-01-21,
,2014-02-03,
,2011-10-05,
,2015-08-10,
,2008-05-19,
,2010-04-28,
,2010-06-08,
,2013-10-14,
,2010-03-17,
,2015-05-03,
,2012-04-18,
,2009-12-11,
,2012-05-21,
,2008-12-18,
,2014-08-20,
,2015-06-15,
,2009-10-24,
,2013-10-18,
,2013-10-03,
,2012-04-30,
,2010-07-27,
,2010-04-12,
,2015-07-28,
,2014-08-11,
,2013-11-21,
,2011-04-29,
,2013-01-09,
,2011-09-26,
,2011-01-12,
,2013-11-14,
,2012-06-29,
,2012-06-13,
,2010-08-09,
,2012-09-20,
,2012-09-12,
,2015-01-23,
,2015-03-17,
,2011-09-21,
,2011-08-29,
,2014-12-08,
,2014-04-01,
,2013-10-22,
,2013-12-03,
,2011-03-02,
,2011-10-04,
,2014-11-07,
,2013-11-13,
,2013-09-30,
,2010-05-07,
,2013-02-14,
,2012-10-02,
,2011-07-22,
,2014-10-01,
,2013-11-12,
,2012-10-09,
,2012-01-31,
,2008-11-07,
,2015-04-22,
,2011-06-01,
,2011-01-18,
,2015-06-24,
,2012-01-31,
,2014-01-20,
,2011-04-05,
,2014-04-18,
,2007-11-05,
,2012-11-06,
,2014-02-19,
,2015-02-11,
,2014-12-16,
,2012-03-15,
,2013-10-22,
,2012-06-12,
,2014-09-03,
,2011-08-23,
,2015-04-24,
,2007-12-17,
,2008-11-04,
,2013-10-19,
,2010-02-19,
,2013-12-10,
,2012-11-02,
,2008-10-29,
,2008-05-19,
,2007-12-11,
,2015-08-25,
,2011-04-02,
,2012-03-16,
,2012-01-31,
,2009-02-20,
,2012-06-21,
,2011-10-10,
,2013-01-31,
,2009-12-21,
,2013-11-06,
,2011-04-14,
,2014-03-05,
,2014-09-19,
,2014-02-08,
,2014-11-07,
,2012-02-16,
,2012-10-11,
,2008-05-22,
,2012-07-02,
,2008-11-13,
,2014-02-13,
,2011-08-30,
,2008-06-17,
,2011-09-13,
,2011-04-01,
,2012-12-18,
,2011-08-19,
,2009-07-24,
,2010-03-30,
,2014-04-03,
,2011-06-20,
,2007-04-12,
,2009-03-09,
,2013-10-17,
,2014-08-04,
,2012-08-09,
,2015-04-17,
,2011-10-25,
,2014-05-15,
,2013-11-15,
,2013-10-31,
,2011-09-23,
,2011-04-14,
,2011-09-21,
,2012-08-02,
,2013-04-23,
,2015-01-19,
,2012-09-07,
,2014-09-24,
,2013-09-25,
,2014-07-02,
,2010-06-07,
,2006-11-14,
,2007-04-16,
,2009-11-09,
,2009-10-19,
,2006-11-29,
,2009-08-19,
,2007-12-11,
,2013-02-01,
,2015-01-08,
,2010-08-30,
,2014-04-27,
,2008-04-28,
,2009-11-06,
,2011-02-28,
,2010-04-30,
,2014-06-23,
,2010-05-05,
,2009-01-15,
,2011-07-14,
,2015-04-13,
,2014-06-05,
,2010-12-27,
,2011-10-31,
,2011-06-01,
,2009-06-30,
,2012-12-19,
,2008-01-24,
,2011-07-06,
,2012-04-19,
,2008-07-10,
,2013-10-04,
,2009-06-08,
,2012-03-28,
,2014-06-16,
,2012-08-20,
,2010-07-29,
,2012-11-19,
,2008-04-17,
,2008-12-22,
,2014-04-17,
,2012-02-03,
,2014-09-18,
,2011-06-30,
,2011-07-21,
,2011-05-16,
,2010-07-20,
,2014-08-11,
,2010-01-26,
,2013-12-05,
,2014-04-21,
,2012-08-25,
,2012-04-17,
,2014-09-22,
,2013-10-27,
,2015-05-06,
,2014-03-11,
,2013-10-28,
,2006-11-21,
,2006-11-29,
,2007-04-06,
,2007-07-13,
,2008-07-01,
,2007-08-10,
,2008-01-28,
,2013-12-09,
,2013-04-11,
,2008-06-24,
,2012-05-22,
,2013-06-19,
,2013-08-01,
,2014-09-24,
,2012-09-06,
,2009-06-08,
,2014-06-20,
,2009-09-11,
,2014-05-22,
,2008-12-10,
,2014-12-03,
,2012-12-18,
,2008-08-21,
,2009-05-21,
,2011-07-18,
,2013-02-04,
,2012-11-05,
,2014-06-18,
,2011-06-08,
,2010-07-26,
,2014-02-03,
,2013-07-26,
,2014-01-17,
,2012-03-21,
,2008-05-19,
,2015-03-18,
,2011-04-19,
,2014-05-28,
,2008-05-14,
,2013-10-20,
,2014-08-25,
,2013-10-17,
,2014-06-13,
,2014-03-05,
,2013-10-30,
,2013-01-22,
,2013-11-12,
,2013-10-09,
,2011-04-21,
,2011-01-19,
,2014-06-04,
,2008-02-03,
,2011-12-05,
,2013-08-23,
,2012-03-15,
,2013-03-27,
,2010-07-30,
,2014-06-12,
,2011-08-08,
,2008-10-27,
,2008-10-20,
,2011-12-06,
,2008-07-01,
,2012-07-17,
,2008-05-13,
,2011-05-26,
,2011-03-03,
,2014-10-27,
,2013-04-09,
,2010-10-14,
,2009-01-06,
,2009-05-14,
,2008-02-06,
,2014-04-29,
,2015-01-05,
,2013-11-12,
,2012-09-18,
,2014-03-06,
,2013-08-02,
,2010-11-12,
,2012-09-26,
,2010-11-23,
,2013-07-12,
,2014-04-25,
,2012-09-04,
,2012-10-18,
,2014-06-13,
,2011-03-27,
,2012-05-09,
,2011-03-09,
,2015-01-13,
,2015-01-27,
,2012-03-08,
,2011-01-20,
,2007-02-20,
,2012-06-20,
,2011-12-15,
,2013-08-15,
,2010-03-10,
,2008-07-31,
,2013-04-04,
,2007-09-20,
,2012-03-14,
,2012-01-20,
,2014-10-17,
,2013-06-06,
,2014-01-07,
,2013-02-08,
,2012-10-18,
,2013-09-25,
,2012-11-20,
,2015-09-15,
,2012-09-18,
,2015-05-04,
,2014-06-23,
,2014-05-01,
,2014-03-18,
,2006-11-06,
,2008-09-25,
,2012-04-30,
,2009-12-23,
,2012-03-28,
,2012-05-22,
,2009-04-14,
,2006-12-18,
,2012-11-01,
,2014-05-27,
,2007-12-12,
,2014-12-06,
,2013-03-04,
,2012-03-13,
,2010-04-29,
,2012-10-01,
,2012-10-25,
,2013-08-27,
,2008-07-18,
,2014-02-07,
,2014-12-09,
,2010-12-16,
,2009-12-07,
,2009-04-27,
,2011-08-17,
,2012-06-19,
,2011-11-02,
,2010-11-05,
,2013-12-09,
,2013-05-01,
,2013-11-26,
,2013-08-26,
,2014-02-11,
,2012-06-25,
,2011-04-21,
,2013-05-28,
,2012-03-05,
,2011-06-20,
,2015-01-21,
,2010-10-08,
,2015-07-20,
,2015-07-30,
,2012-08-14,
,2013-10-25,
,2013-05-09,
,2014-03-20,
,2013-11-13,
,2013-05-22,
,2015-01-21,
,2015-01-15,
,2014-01-12,
,2015-08-24,
,2007-02-09,
,2007-02-27,
,2007-01-30,
,2006-12-12,
,2007-12-07,
,2008-07-09,
,2012-08-16,
,2010-03-25,
,2008-11-29,
,2011-04-30,
,2010-02-22,
,2012-01-17,
,2010-02-03,
,2011-08-19,
,2008-01-10,
,2007-06-22,
,2010-05-14,
,2011-08-18,
,2014-06-18,
,2011-07-11,
,2010-05-18,
,2013-06-17,
,2010-11-03,
,2014-04-23,
,2010-08-03,
,2012-10-03,
,2012-10-26,
,2010-05-04,
,2015-02-20,
,2012-08-30,
,2012-10-17,
,2011-08-31,
,2012-10-23,
,2014-04-16,
,2009-10-05,
,2011-12-09,
,2014-07-22,
,2011-05-06,
,2013-03-08,
,2014-05-16,
,2009-05-01,
,2013-06-20,
,2008-11-16,
,2011-04-19,
,2011-04-14,
,2008-07-02,
,2014-08-10,
,2012-02-04,
,2015-10-02,
,2012-07-30,
,2012-11-01,
,2011-02-09,
,2012-11-07,
,2013-11-05,
,2014-02-12,
,2014-08-07,
,2014-02-13,
,2013-10-28,
,2013-03-29,
,2014-05-30,
,2012-07-17,
,2010-12-21,
,2007-01-07,
,2007-06-21,
,2007-05-15,
,2008-02-05,
,2008-05-16,
,2012-04-24,
,2007-04-06,
,2008-05-27,
,2015-06-15,
,2009-09-30,
,2012-09-29,
,2013-10-09,
,2013-08-05,
,2013-02-20,
,2012-11-20,
,2007-11-29,
,2009-01-09,
,2012-09-05,
,2008-03-13,
,2010-06-24,
,2015-03-20,
,2013-05-01,
,2010-12-14,
,2015-02-19,
,2015-04-16,
,2010-09-20,
,2011-04-15,
,2013-09-25,
,2008-07-08,
,2014-09-11,
,2015-03-09,
,2010-05-07,
,2011-05-17,
,2013-03-28,
,2010-12-03,
,2010-02-26,
,2015-05-11,
,2014-11-14,
,2010-10-30,
,2012-02-22,
,2013-04-05,
,2013-09-30,
,2010-11-03,
,2012-10-29,
,2013-06-20,
,2010-01-08,
,2012-03-02,
,2010-11-09,
,2011-07-17,
,2008-10-27,
,2012-05-08,
,2013-10-24,
,2013-01-04,
,2014-03-13,
,2010-07-29,
,2015-03-17,
,2014-07-24,
,2012-11-27,
,2009-10-27,
,2011-12-13,
,2011-01-03,
,2012-08-02,
,2015-05-06,
,2011-05-02,
,2013-09-28,
,2014-08-01,
,2013-10-07,
,2013-01-25,
,2014-03-14,
,2013-02-01,
,2013-07-16,
,2010-05-10,
,2015-02-12,
,2012-08-16,
,2011-03-23,
,2014-08-12,
,2010-11-05,
,2014-06-23,
,2011-10-25,
,2009-01-20,
,2012-04-03,
,2014-12-15,
,2011-10-21,
,2015-02-04,
,2012-06-05,
,2013-11-08,
,2008-10-14,
,2013-10-23,
,2014-01-26,
,2008-05-21,
,2014-03-18,
,2013-12-06,
,2012-04-16,
,2012-07-19,
,2012-12-18,
,2015-06-15,
,2014-11-17,
,2014-05-01,
,2013-04-01,
,2014-06-11,
,2013-03-18,
,2014-05-02,
,2012-04-11,
,2007-02-23,
,2007-02-19,
,2007-02-22,
,2007-02-09,
,2009-12-07,
,2009-08-05,
,2010-09-29,
,2011-12-09,
,2009-10-09,
,2007-04-10,
,2009-12-03,
,2011-11-28,
,2011-08-22,
,2013-04-07,
,2013-02-25,
,2014-02-18,
,2009-12-07,
,2012-05-03,
,2012-08-15,
,2010-02-10,
,2012-12-27,
,2014-03-19,
,2015-05-08,
,2009-10-09,
,2010-09-29,
,2011-09-07,
,2015-05-13,
,2007-10-24,
,2011-10-06,
,2009-06-11,
,2012-09-06,
,2010-05-26,
,2012-11-05,
,2012-08-17,
,2008-08-26,
,2012-05-09,
,2013-01-15,
,2015-09-14,
,2011-11-04,
,2010-07-29,
,2012-06-20,
,2011-09-28,
,2012-09-14,
,2010-03-16,
,2013-07-31,
,2009-11-06,
,2012-05-16,
,2011-06-14,
,2011-02-04,
,2014-06-19,
,2008-12-22,
,2009-02-25,
,2014-08-04,
,2011-09-06,
,2014-02-27,
,2012-03-23,
,2011-07-29,
,2009-03-02,
,2007-09-11,
,2012-06-26,
,2015-02-19,
,2008-11-06,
,2013-04-17,
,2014-05-19,
,2012-12-28,
,2012-11-09,
,2013-07-01,
,2014-06-11,
,2015-04-16,
,2011-10-26,
,2007-06-04,
,2008-08-01,
,2009-05-21,
,2011-02-14,
,2012-03-22,
,2011-11-14,
,2012-09-25,
,2012-04-13,
,2008-05-21,
,2015-08-06,
,2014-12-10,
,2012-09-19,
,2012-04-26,
,2015-06-29,
,2012-02-08,
,2014-02-14,
,2012-12-05,
,2012-11-20,
,2011-03-13,
,2011-03-25,
,2009-05-28,
,2013-12-10,
,2011-08-01,
,2013-09-13,
,2013-07-27,
,2012-10-09,
,2012-08-07,
,2015-03-20,
,2007-07-06,
,2014-06-16,
,2014-07-25,
,2013-07-15,
,2010-01-14,
,2012-11-30,
,2013-02-20,
,2015-02-10,
,2012-11-30,
,2011-11-15,
,2013-12-02,
,2012-11-27,
,2011-09-30,
,2014-03-26,
,2010-11-17,
,2012-02-07,
